Temps(ms),Voie3,Voie4
Taken from test0011
249740.0,9.0,13
249750.0,12.0,12
249760.0,12.0,13
249770.0,10.0,12
249780.0,12.0,13
249790.0,11.0,12
249800.0,12.0,13
249810.0,12.0,12
249820.0,9.0,13
249830.0,12.0,13
249840.0,12.0,12
249850.0,12.0,12
249860.0,12.0,13
249870.0,13.0,13
249880.0,10.0,13
249890.0,13.0,13
249900.0,12.0,12
249910.0,13.0,13
249920.0,9.0,13
249930.0,12.0,12
249940.0,12.0,12
249950.0,13.0,13
249960.0,12.0,12
249970.0,10.0,12
249980.0,12.0,12
249990.0,11.0,12
250000.0,12.0,12
250010.0,11.0,13
250020.0,11.0,12
250030.0,12.0,12
250040.0,12.0,13
250050.0,11.0,12
250060.0,11.0,13
250070.0,12.0,13
250080.0,10.0,13
250090.0,11.0,13
250100.0,10.0,12
250110.0,10.0,12
250120.0,9.0,12
250130.0,13.0,13
250140.0,12.0,12
250150.0,12.0,13
250160.0,12.0,12
250170.0,12.0,13
250180.0,10.0,13
250190.0,13.0,13
250200.0,12.0,12
250210.0,12.0,13
250220.0,10.0,12
250230.0,11.0,12
250240.0,13.0,13
250250.0,12.0,13
250260.0,11.0,12
250270.0,12.0,14
250280.0,11.0,13
250290.0,12.0,12
250300.0,12.0,12
250310.0,11.0,13
250320.0,9.0,13
250330.0,11.0,12
250340.0,12.0,13
250350.0,12.0,13
250360.0,11.0,13
250370.0,8.0,13
250380.0,11.0,13
250390.0,10.0,13
250400.0,12.0,12
250410.0,11.0,13
250420.0,11.0,13
250430.0,11.0,13
250440.0,11.0,13
250450.0,12.0,13
250460.0,12.0,12
250470.0,13.0,12
250480.0,12.0,12
250490.0,9.0,13
250500.0,11.0,13
250510.0,10.0,13
250520.0,10.0,12
250530.0,11.0,12
250540.0,13.0,12
250550.0,11.0,13
250560.0,11.0,13
250570.0,11.0,12
250580.0,9.0,13
250590.0,13.0,13
250600.0,11.0,13
250610.0,12.0,13
250620.0,12.0,13
250630.0,10.0,12
250640.0,12.0,13
250650.0,11.0,12
250660.0,10.0,12
250670.0,12.0,12
250680.0,10.0,12
250690.0,11.0,12
250700.0,12.0,12
250710.0,11.0,13
250720.0,12.0,12
250730.0,10.0,13
250740.0,10.0,12
250750.0,12.0,12
250760.0,12.0,13
250770.0,13.0,12
250780.0,12.0,12
250790.0,11.0,12
250800.0,10.0,12
250810.0,13.0,13
250820.0,12.0,12
250830.0,9.0,12
250840.0,12.0,13
250850.0,11.0,13
250860.0,12.0,12
250870.0,10.0,13
250880.0,10.0,13
250890.0,12.0,12
250900.0,10.0,13
250910.0,12.0,13
250920.0,11.0,12
250930.0,11.0,12
250940.0,11.0,13
250950.0,14.0,13
250960.0,13.0,12
250970.0,11.0,12
250980.0,10.0,13
250990.0,11.0,12
251000.0,10.0,12
251010.0,12.0,12
251020.0,12.0,13
251030.0,12.0,12
251040.0,10.0,13
251050.0,13.0,12
251060.0,10.0,13
251070.0,12.0,12
251080.0,12.0,12
251090.0,11.0,13
251100.0,11.0,12
251110.0,10.0,13
251120.0,11.0,13
251130.0,10.0,12
251140.0,11.0,13
251150.0,12.0,12
251160.0,13.0,13
251170.0,11.0,11
251180.0,11.0,12
251190.0,11.0,12
251200.0,11.0,13
251210.0,9.0,13
251220.0,9.0,13
251230.0,12.0,12
251240.0,10.0,13
251250.0,11.0,13
251260.0,12.0,13
251270.0,11.0,12
251280.0,13.0,13
251290.0,12.0,12
251300.0,11.0,12
251310.0,10.0,13
251320.0,10.0,13
251330.0,12.0,13
251340.0,11.0,13
251350.0,11.0,12
251360.0,12.0,12
251370.0,13.0,12
251380.0,9.0,12
251390.0,11.0,13
251400.0,13.0,12
251410.0,14.0,12
251420.0,9.0,12
251430.0,10.0,12
251440.0,9.0,13
251450.0,10.0,12
251460.0,13.0,13
251470.0,12.0,13
251480.0,9.0,12
251490.0,12.0,13
251500.0,9.0,12
251510.0,12.0,13
251520.0,11.0,12
251530.0,11.0,13
251540.0,10.0,13
251550.0,10.0,12
251560.0,10.0,12
251570.0,8.0,12
251580.0,12.0,13
251590.0,11.0,13
251600.0,12.0,12
251610.0,10.0,13
251620.0,12.0,13
251630.0,9.0,12
251640.0,12.0,12
251650.0,11.0,13
251660.0,11.0,13
251670.0,10.0,13
251680.0,12.0,12
251690.0,14.0,12
251700.0,11.0,12
251710.0,11.0,12
251720.0,10.0,13
251730.0,11.0,13
251740.0,11.0,12
251750.0,12.0,12
251760.0,10.0,13
251770.0,13.0,13
251780.0,14.0,13
251790.0,12.0,12
251800.0,10.0,12
251810.0,11.0,13
251820.0,11.0,13
251830.0,12.0,12
251840.0,11.0,13
251850.0,12.0,12
251860.0,12.0,13
251870.0,12.0,12
251880.0,14.0,12
251890.0,12.0,13
251900.0,12.0,12
251910.0,12.0,12
251920.0,9.0,13
251930.0,10.0,12
251940.0,11.0,12
251950.0,11.0,13
251960.0,11.0,13
251970.0,11.0,13
251980.0,12.0,12
251990.0,11.0,12
252000.0,10.0,12
252010.0,10.0,12
252020.0,12.0,12
252030.0,11.0,13
252040.0,13.0,12
252050.0,11.0,13
252060.0,11.0,12
252070.0,11.0,13
252080.0,10.0,13
252090.0,12.0,12
252100.0,9.0,12
252110.0,10.0,13
252120.0,10.0,12
252130.0,13.0,13
252140.0,11.0,13
252150.0,13.0,13
252160.0,12.0,13
252170.0,12.0,12
252180.0,12.0,12
252190.0,11.0,13
252200.0,12.0,13
252210.0,12.0,13
252220.0,11.0,12
252230.0,10.0,13
252240.0,11.0,13
252250.0,13.0,12
252260.0,13.0,12
252270.0,12.0,13
252280.0,13.0,13
252290.0,11.0,13
252300.0,12.0,12
252310.0,12.0,12
252320.0,12.0,12
252330.0,13.0,13
252340.0,14.0,13
252350.0,12.0,12
252360.0,12.0,12
252370.0,13.0,13
252380.0,13.0,12
252390.0,12.0,13
252400.0,12.0,12
252410.0,11.0,13
252420.0,11.0,13
252430.0,12.0,13
252440.0,12.0,12
252450.0,11.0,13
252460.0,12.0,13
252470.0,13.0,13
252480.0,9.0,13
252490.0,12.0,12
252500.0,10.0,12
252510.0,12.0,12
252520.0,11.0,12
252530.0,11.0,13
