Temps(ms),Voie3,Voie4
6840.0,12.0,12
6850.0,10.0,13
6860.0,13.0,12
6870.0,13.0,12
6880.0,12.0,12
6890.0,12.0,12
6900.0,10.0,12
6910.0,9.0,12
6920.0,11.0,12
6930.0,13.0,12
6940.0,12.0,12
6950.0,12.0,13
6960.0,12.0,12
6970.0,10.0,12
6980.0,12.0,13
6990.0,12.0,12
7000.0,12.0,12
7010.0,11.0,12
7020.0,12.0,12
7030.0,11.0,12
7040.0,13.0,13
7050.0,12.0,12
7060.0,11.0,13
7070.0,13.0,12
7080.0,12.0,12
7090.0,12.0,13
7100.0,11.0,12
7110.0,11.0,13
7120.0,12.0,12
7130.0,11.0,13
7140.0,11.0,12
7150.0,12.0,12
7160.0,12.0,13
7170.0,12.0,12
7180.0,12.0,12
7190.0,13.0,12
7200.0,13.0,13
7210.0,10.0,12
7220.0,11.0,12
7230.0,11.0,12
7240.0,10.0,13
7250.0,14.0,12
7260.0,13.0,12
7270.0,13.0,13
7280.0,9.0,12
7290.0,12.0,12
7300.0,12.0,13
7310.0,358.0,13
7320.0,4.0,0
7330.0,9.0,12
7340.0,11.0,12
7350.0,11.0,12
7360.0,10.0,12
7370.0,11.0,12
7380.0,11.0,13
7390.0,12.0,13
7400.0,12.0,13
7410.0,12.0,12
7420.0,12.0,13
7430.0,12.0,13
7440.0,10.0,12
7450.0,12.0,12
7460.0,13.0,12
7470.0,11.0,13
7480.0,11.0,13
7490.0,11.0,13
7500.0,9.0,12
7510.0,11.0,12
7520.0,11.0,13
7530.0,12.0,13
7540.0,12.0,13
7550.0,10.0,12
7560.0,12.0,13
7570.0,11.0,12
7580.0,10.0,13
7590.0,12.0,12
7600.0,12.0,13
7610.0,13.0,13
7620.0,12.0,12
7630.0,12.0,13
7640.0,10.0,12
7650.0,12.0,13
7660.0,12.0,13
7670.0,13.0,12
7680.0,13.0,12
7690.0,12.0,13
7700.0,9.0,13
7710.0,11.0,12
7720.0,11.0,12
7730.0,12.0,12
7740.0,12.0,12
7750.0,12.0,12
7760.0,10.0,13
7770.0,10.0,12
7780.0,11.0,13
7790.0,12.0,13
7800.0,13.0,12
7810.0,12.0,12
7820.0,11.0,12
7830.0,11.0,13
7840.0,13.0,13
7850.0,11.0,13
7860.0,11.0,12
7870.0,12.0,12
7880.0,11.0,13
7890.0,12.0,12
7900.0,14.0,12
7910.0,11.0,13
7920.0,11.0,12
7930.0,12.0,12
7940.0,12.0,12
7950.0,12.0,12
7960.0,354.0,12
7970.0,6.0,0
7980.0,11.0,12
7990.0,12.0,13
8000.0,12.0,12
8010.0,14.0,13
8020.0,12.0,12
8030.0,13.0,12
8040.0,12.0,13
8050.0,12.0,12
8060.0,355.0,13
8070.0,3.0,0
8080.0,11.0,12
8090.0,11.0,12
8100.0,225.0,12
8110.0,341.0,12
8120.0,0.0,7
8130.0,13.0,13
8140.0,9.0,12
8150.0,13.0,12
8160.0,11.0,13
8170.0,13.0,12
8180.0,13.0,12
8190.0,11.0,13
8200.0,12.0,12
8210.0,11.0,12
8220.0,11.0,13
8230.0,12.0,12
8240.0,11.0,12
8250.0,9.0,12
8260.0,11.0,13
8270.0,12.0,13
8280.0,11.0,12
8290.0,13.0,13
8300.0,11.0,13
8310.0,11.0,14
8320.0,12.0,13
8330.0,89.0,13
8340.0,367.0,13
8350.0,1.0,14
8360.0,10.0,12
8370.0,9.0,13
8380.0,12.0,12
8390.0,11.0,13
8400.0,10.0,13
8410.0,12.0,12
8420.0,13.0,12
8430.0,8.0,13
8440.0,12.0,12
8450.0,11.0,13
8460.0,9.0,13
8470.0,13.0,12
8480.0,12.0,14
8490.0,10.0,13
8500.0,12.0,13
8510.0,13.0,13
8520.0,11.0,13
8530.0,12.0,13
8540.0,12.0,13
8550.0,11.0,12
8560.0,12.0,13
8570.0,10.0,12
8580.0,10.0,13
8590.0,12.0,13
8600.0,12.0,13
8610.0,12.0,12
8620.0,14.0,13
8630.0,11.0,13
8640.0,12.0,12
8650.0,10.0,12
8660.0,12.0,13
8670.0,12.0,13
8680.0,12.0,13
8690.0,10.0,13
8700.0,13.0,12
8710.0,13.0,13
8720.0,13.0,13
8730.0,11.0,12
8740.0,12.0,13
8750.0,11.0,12
8760.0,9.0,12
8770.0,10.0,12
8780.0,12.0,13
8790.0,10.0,12
8800.0,13.0,13
8810.0,10.0,13
8820.0,12.0,13
8830.0,10.0,13
8840.0,11.0,13
8850.0,12.0,13
8860.0,12.0,13
8870.0,13.0,12
8880.0,12.0,12
8890.0,12.0,12
8900.0,12.0,12
8910.0,11.0,12
8920.0,11.0,13
8930.0,12.0,13
8940.0,12.0,12
8950.0,10.0,13
8960.0,12.0,13
8970.0,11.0,12
8980.0,12.0,13
8990.0,12.0,13
9000.0,11.0,13
9010.0,13.0,13
9020.0,11.0,12
9030.0,12.0,13
9040.0,11.0,13
9050.0,10.0,13
9060.0,12.0,13
9070.0,11.0,13
9080.0,10.0,13
9090.0,334.0,13
9100.0,72.0,2
9110.0,9.0,15
9120.0,11.0,13
9130.0,11.0,13
9140.0,12.0,12
9150.0,12.0,12
9160.0,11.0,13
9170.0,11.0,13
9180.0,10.0,13
9190.0,13.0,12
9200.0,14.0,13
9210.0,12.0,12
9220.0,11.0,12
9230.0,13.0,13
9240.0,12.0,13
9250.0,10.0,13
9260.0,11.0,13
9270.0,12.0,12
9280.0,13.0,13
9290.0,11.0,13
9300.0,12.0,13
9310.0,10.0,13
9320.0,12.0,12
9330.0,12.0,13
9340.0,12.0,13
9350.0,11.0,12
9360.0,12.0,13
9370.0,11.0,12
9380.0,13.0,12
9390.0,12.0,12
9400.0,13.0,13
9410.0,12.0,12
9420.0,13.0,13
9430.0,11.0,12
9440.0,11.0,12
9450.0,13.0,12
9460.0,11.0,13
9470.0,11.0,13
9480.0,13.0,13
9490.0,368.0,12
9500.0,21.0,1
9510.0,10.0,13
9520.0,12.0,13
9530.0,10.0,12
9540.0,318.0,13
9550.0,212.0,6
9560.0,4.0,18
9570.0,11.0,12
9580.0,12.0,13
9590.0,346.0,12
9600.0,0.0,0
9610.0,12.0,12
9620.0,11.0,13
9630.0,11.0,12
9640.0,11.0,12
9650.0,12.0,12
9660.0,9.0,13
9670.0,12.0,13
9680.0,11.0,13
9690.0,11.0,13
9700.0,13.0,13
9710.0,14.0,12
9720.0,12.0,12
9730.0,11.0,12
9740.0,11.0,12
9750.0,12.0,13
9760.0,9.0,13
9770.0,10.0,12
9780.0,12.0,13
9790.0,12.0,12
9800.0,12.0,12
9810.0,10.0,13
9820.0,12.0,12
9830.0,10.0,13
9840.0,12.0,12
9850.0,13.0,13
9860.0,11.0,13
9870.0,10.0,13
9880.0,11.0,12
9890.0,12.0,12
9900.0,12.0,13
9910.0,13.0,13
9920.0,12.0,13
9930.0,14.0,13
9940.0,13.0,13
9950.0,13.0,12
9960.0,13.0,13
9970.0,11.0,13
9980.0,13.0,13
9990.0,11.0,12
10000.0,11.0,13
10010.0,11.0,12
10020.0,11.0,12
10030.0,12.0,13
10040.0,12.0,12
10050.0,10.0,13
10060.0,11.0,13
10070.0,345.0,13
10080.0,0.0,0
10090.0,11.0,13
10100.0,13.0,12
10110.0,12.0,12
10120.0,12.0,12
10130.0,10.0,13
10140.0,11.0,13
10150.0,10.0,12
10160.0,12.0,13
10170.0,10.0,13
10180.0,9.0,13
10190.0,13.0,13
10200.0,11.0,13
10210.0,11.0,12
10220.0,12.0,13
10230.0,10.0,12
10240.0,12.0,13
10250.0,122.0,12
10260.0,341.0,13
10270.0,0.0,13
10280.0,11.0,12
10290.0,12.0,13
10300.0,12.0,13
10310.0,12.0,13
10320.0,12.0,13
10330.0,14.0,12
10340.0,10.0,13
10350.0,12.0,12
10360.0,10.0,13
10370.0,13.0,13
10380.0,11.0,13
10390.0,11.0,13
10400.0,12.0,12
10410.0,12.0,12
10420.0,13.0,13
10430.0,11.0,12
10440.0,12.0,14
10450.0,11.0,13
10460.0,12.0,12
10470.0,13.0,13
10480.0,12.0,13
10490.0,11.0,13
10500.0,12.0,13
10510.0,11.0,13
10520.0,13.0,13
10530.0,12.0,12
10540.0,11.0,12
10550.0,10.0,13
10560.0,11.0,13
10570.0,11.0,13
10580.0,11.0,13
10590.0,13.0,13
10600.0,13.0,13
10610.0,342.0,13
10620.0,0.0,7
10630.0,12.0,13
10640.0,10.0,13
10650.0,13.0,13
10660.0,11.0,13
10670.0,12.0,13
10680.0,11.0,13
10690.0,13.0,13
10700.0,11.0,12
10710.0,12.0,13
10720.0,12.0,12
10730.0,11.0,12
10740.0,10.0,12
10750.0,359.0,13
10760.0,0.0,0
10770.0,12.0,12
10780.0,12.0,12
10790.0,352.0,12
10800.0,16.0,0
10810.0,10.0,13
10820.0,11.0,12
10830.0,11.0,12
10840.0,337.0,13
10850.0,81.0,2
10860.0,11.0,15
10870.0,12.0,13
10880.0,311.0,13
10890.0,272.0,9
10900.0,0.0,7
10910.0,12.0,13
10920.0,13.0,13
10930.0,11.0,13
10940.0,11.0,12
10950.0,12.0,12
10960.0,13.0,12
10970.0,12.0,13
10980.0,12.0,13
10990.0,12.0,12
11000.0,10.0,13
11010.0,12.0,13
11020.0,12.0,13
11030.0,14.0,12
11040.0,13.0,13
11050.0,14.0,12
11060.0,12.0,13
11070.0,12.0,12
11080.0,11.0,13
11090.0,12.0,13
11100.0,11.0,12
11110.0,12.0,13
11120.0,8.0,12
11130.0,14.0,12
11140.0,12.0,13
11150.0,12.0,13
11160.0,12.0,13
11170.0,13.0,13
11180.0,11.0,13
11190.0,12.0,12
11200.0,10.0,13
11210.0,12.0,12
11220.0,11.0,12
11230.0,12.0,13
11240.0,12.0,13
11250.0,12.0,13
11260.0,10.0,13
11270.0,11.0,13
11280.0,12.0,13
11290.0,11.0,12
11300.0,14.0,13
11310.0,11.0,13
11320.0,12.0,13
11330.0,14.0,12
11340.0,13.0,13
11350.0,10.0,13
11360.0,12.0,13
11370.0,11.0,13
11380.0,10.0,13
11390.0,13.0,13
11400.0,10.0,12
11410.0,12.0,12
11420.0,13.0,13
11430.0,12.0,12
11440.0,12.0,12
11450.0,13.0,12
11460.0,12.0,13
11470.0,11.0,13
11480.0,12.0,13
11490.0,13.0,12
11500.0,12.0,12
11510.0,13.0,12
11520.0,12.0,13
11530.0,11.0,13
11540.0,10.0,13
11550.0,12.0,12
11560.0,12.0,12
11570.0,12.0,12
11580.0,11.0,12
11590.0,13.0,12
11600.0,11.0,13
11610.0,13.0,12
11620.0,12.0,13
11630.0,11.0,13
11640.0,14.0,13
11650.0,12.0,12
11660.0,12.0,12
11670.0,10.0,13
11680.0,10.0,13
11690.0,10.0,13
11700.0,12.0,13
11710.0,12.0,13
11720.0,11.0,13
11730.0,11.0,13
11740.0,10.0,12
11750.0,13.0,13
11760.0,12.0,13
11770.0,12.0,13
11780.0,12.0,13
11790.0,11.0,13
11800.0,12.0,13
11810.0,11.0,12
11820.0,10.0,12
11830.0,13.0,13
11840.0,10.0,12
11850.0,12.0,12
11860.0,10.0,13
11870.0,10.0,13
11880.0,12.0,12
11890.0,12.0,12
11900.0,12.0,13
11910.0,116.0,12
11920.0,340.0,13
11930.0,0.0,16
11940.0,12.0,12
11950.0,14.0,12
11960.0,12.0,13
11970.0,13.0,13
11980.0,11.0,13
11990.0,12.0,13
12000.0,11.0,13
12010.0,12.0,13
12020.0,11.0,13
12030.0,12.0,13
12040.0,13.0,13
12050.0,11.0,13
12060.0,12.0,12
12070.0,12.0,12
12080.0,12.0,12
12090.0,13.0,12
12100.0,12.0,12
12110.0,9.0,12
12120.0,10.0,13
12130.0,12.0,13
12140.0,12.0,12
12150.0,12.0,13
12160.0,12.0,13
12170.0,12.0,12
12180.0,10.0,12
12190.0,12.0,13
12200.0,12.0,12
12210.0,12.0,13
12220.0,11.0,12
12230.0,11.0,13
12240.0,12.0,12
12250.0,10.0,13
12260.0,10.0,13
12270.0,13.0,13
12280.0,12.0,13
12290.0,11.0,13
12300.0,13.0,12
12310.0,11.0,13
12320.0,12.0,13
12330.0,11.0,13
12340.0,13.0,13
12350.0,354.0,13
12360.0,0.0,0
12370.0,11.0,13
12380.0,12.0,13
12390.0,12.0,13
12400.0,12.0,13
12410.0,10.0,13
12420.0,12.0,13
12430.0,13.0,12
12440.0,11.0,13
12450.0,13.0,13
12460.0,12.0,12
12470.0,12.0,12
12480.0,12.0,13
12490.0,12.0,12
12500.0,13.0,13
12510.0,12.0,13
12520.0,11.0,13
12530.0,12.0,13
12540.0,12.0,13
12550.0,14.0,13
12560.0,10.0,12
12570.0,13.0,12
12580.0,11.0,13
12590.0,11.0,13
12600.0,11.0,12
12610.0,11.0,13
12620.0,12.0,12
12630.0,12.0,13
12640.0,12.0,13
12650.0,12.0,12
12660.0,13.0,13
12670.0,12.0,12
12680.0,13.0,12
12690.0,12.0,13
12700.0,12.0,13
12710.0,13.0,13
12720.0,12.0,12
12730.0,12.0,13
12740.0,12.0,13
12750.0,10.0,12
12760.0,11.0,12
